"id_cliente","correlativo","cliente","PRODUCTO"
5,7,BANCO PROMERICA,PROMERICA
5,10,BANCO PROMERICA,PROMERICA
5,2,BANCO PROMERICA,PROMERICA
5,1,BANCO PROMERICA,PROMERICA
5,3,BANCO PROMERICA,PROMERICA
5,9,BANCO PROMERICA,PROMERICA
5,4,BANCO PROMERICA,PROMERICA
5,6,BANCO PROMERICA,PROMERICA
5,12,BANCO PROMERICA,PROMERICA
5,13,BANCO PROMERICA,PROMERICA
5,14,BANCO PROMERICA,PROMERICA
5,11,BANCO PROMERICA,PROMERICA
5,5,BANCO PROMERICA,PROMERICA
5,8,BANCO PROMERICA,PROMERICA
7,15,BANCO INDUSTRIAL,BI 150 Consumo
7,12,BANCO INDUSTRIAL,BI 60
7,17,BANCO INDUSTRIAL,BI 60 PLUS
7,11,BANCO INDUSTRIAL,BI 90
7,6,BANCO INDUSTRIAL,BI WOFF
7,18,BANCO INDUSTRIAL,BI WOFF EXTRAORDINARIO
7,8,BANCO INDUSTRIAL,PREMORA BI
7,16,BANCO INDUSTRIAL,Premora Plus
15,13,BANCO PROMERICA,PROMERICA
15,1,BANCO PROMERICA,PROMERICA
15,4,BANCO PROMERICA,PROMERICA
15,7,BANCO PROMERICA,PROMERICA
15,6,BANCO PROMERICA,PROMERICA
15,5,BANCO PROMERICA,PROMERICA
15,16,BANCO PROMERICA,PROMERICA
15,17,BANCO PROMERICA,PROMERICA
15,15,BANCO PROMERICA,PROMERICA
15,18,BANCO PROMERICA,PROMERICA
15,2,BANCO PROMERICA,PROMERICA
15,11,BANCO PROMERICA,PROMERICA
15,14,BANCO PROMERICA,PROMERICA
15,12,BANCO PROMERICA,PROMERICA
15,3,BANCO PROMERICA,PROMERICA
15,10,BANCO PROMERICA,PROMERICA
15,19,BANCO PROMERICA,PROMERICA
15,20,BANCO PROMERICA,PROMERICA
15,9,BANCO PROMERICA,PROMERICA
15,8,BANCO PROMERICA,PROMERICA
19,12,BANCO G&T,CONSUMO
19,7,BANCO G&T,CONTI-EXPRESS
19,16,BANCO G&T,CREDITOS TRADICIONALES
19,11,BANCO G&T,FIDUCIARIA
19,5,BANCO G&T,FIDUCIARIO
19,9,BANCO G&T,FIDUCIARIO ESPECIAL
19,19,BANCO G&T,MICROFINANZA
19,15,BANCO G&T,PRESTAMO CASTIGADO
19,21,BANCO G&T,PRESTAMO CJ
19,18,BANCO G&T,TARJETA ADMIN
19,20,BANCO G&T,TARJETA CJ
19,14,BANCO G&T,TARJETA DE CREDITO
19,1,BANCO G&T,TC MORA 180
19,17,BANCO G&T,TRADICIONAL VIGENTE
20,6,BANCO AZTECA,LEGAL
46,9,CREDOMATIC,MULTIPRODUCTO
46,3,CREDOMATIC,MULTIPRODUCTO
46,11,CREDOMATIC,MULTIPRODUCTO
46,1,CREDOMATIC,MULTIPRODUCTO
46,6,CREDOMATIC,MULTIPRODUCTO
46,14,CREDOMATIC,MULTIPRODUCTO
46,15,CREDOMATIC,MULTIPRODUCTO
46,4,CREDOMATIC,MULTIPRODUCTO
46,16,CREDOMATIC,MULTIPRODUCTO
46,20,CREDOMATIC,MULTIPRODUCTO
46,22,CREDOMATIC,MULTIPRODUCTO
46,7,CREDOMATIC,MULTIPRODUCTO
46,17,CREDOMATIC,ADMIN
46,5,CREDOMATIC,MULTIPRODUCTO
46,18,CREDOMATIC,ADMIN
46,2,CREDOMATIC,MULTIPRODUCTO
46,19,CREDOMATIC,ADMIN
46,23,CREDOMATIC,MULTIPRODUCTO
46,13,CREDOMATIC,MULTIPRODUCTO
46,12,CREDOMATIC,MULTIPRODUCTO
46,21,CREDOMATIC,MULTIPRODUCTO
46,8,CREDOMATIC,MULTIPRODUCTO
46,10,CREDOMATIC,MULTIPRODUCTO
95,3,BANCO NEXA,LEGAL
95,1,BANCO NEXA,PRESTAMOS
104,3,BANCO PROMERICA,PROMERICA
104,2,BANCO PROMERICA,PROMERICA
104,1,BANCO PROMERICA,PROMERICA
